gesture,ax,ay,az,gx,gy,gz,player
basket,"[-421, -807, -2274, -3258, -2970, -1949, -1511, -1195, -1352, -1618, -1428, -1318, -1078, -794, -602, -402, -216, -165, -129, -193, -51, -267, -422, -605, -816, -793, -2265, -2191, -2191, -1392, -585, -378, -618, -321, -293, -288, -92, 81, 243, 274, 269, 196, 101, -155, -207, -376, -434, -557, -724, -876, -1007, -741, -565, -506, -470, -440, -448, -462, -487, -516]","[-541, -826, -203, 578, 402, 1185, 417, 281, 421, 387, 488, 271, 189, 98, 48, 37, 29, -13, -23, -34, -76, -141, -351, -547, -622, -641, -284, 265, 81, 924, 148, 71, -38, 100, 85, -29, -196, -85, -162, -101, -20, 41, 247, 488, 587, 752, 549, 471, 457, 324, 512, 713, 539, 229, 125, 148, 205, 171, 165, 162]","[-1423, -2044, -1597, 1106, 1579, 1852, 2065, 1119, 1079, 820, 420, 180, -23, -179, -288, -385, -403, -505, -558, -656, -784, -876, -1071, -1380, -1886, -1534, -1425, -798, 164, 918, 1165, 810, 863, 540, 377, 184, 38, -5, 23, -19, 40, 68, 77, 133, 278, 415, 399, 314, 265, 136, 159, 138, 111, 128, 100, 50, 63, 61, 52, 61]","[806, 3942, -825, 5369, -3392, 2808, -1954, 6850, -3012, 198, -4299, -7065, -5083, -4470, -2558, -1007, -3015, -2883, -2903, -165, 2237, 3909, 1678, 2962, 1947, -404, -1503, 14108, 6090, 2049, -12328, 3105, 4313, 1628, -1898, -2951, 1863, 3492, 3373, 6072, 7641, 7668, 8278, 6742, 1966, -523, 863, 5708, 1289, 2973, 8230, 4900, 504, 346, 2233, 2288, -878, -3012, -1975, -1465]","[2515, 24001, 25000, 25000, 25000, 19293, -2896, -10734, -13164, -22297, -25000, -25000, -25000, -25000, -25000, -24581, -21447, -18398, -15641, -13719, -13735, -9521, -7154, 129, 14524, 25000, 25000, 25000, 25000, 25000, 4747, -1860, -3424, -5435, -10114, -14878, -14653, -9208, -3981, 373, 2873, 4564, 4906, 5749, 7007, 7773, 7103, 6012, 4554, 3582, 3680, 3653, 1920, 78, -682, -645, 255, 372, -157, -273]","[-1100, -10329, -16674, -7532, -10573, -12858, 4599, 8338, 8248, 10087, 11387, 10446, 8567, 7727, 7169, 7206, 6681, 5726, 4566, 3881, 3276, 3494, 1482, -3143, -10924, -17001, -9298, -10111, -16438, -25000, -9491, 9443, 8805, 6049, 7226, 8013, 7601, 5275, 1696, -2766, -6855, -11046, -14922, -16650, -17957, -16535, -14277, -13888, -14643, -14480, -14149, -10477, -2887, 2425, 2301, 1124, 607, 618, 946, 1712]",wanlin
basket,"[-152, -607, -1934, -3702, -3924, -1419, -1271, -993, -740, -850, -998, -1076, -887, -857, -636, -477, -367, -248, -144, -154, -88, -144, -105, -210, -159, -315, -300, -515, -916, -1967, -1394, -1054, -241, -105, -183, -304, -230, -61, 143, 187, 349, 249, 149, -55, -377, -422, -547, -601, -578, -757, -834, -871, -672, -537, -468, -444, -475, -501, -496, -466]","[-508, -813, -623, 249, -449, 2724, -185, 326, 176, 555, 525, 629, 595, 509, 297, 177, 119, 12, 4, -45, -41, -101, -70, -204, -246, -264, -286, -310, 19, 182, -101, 1271, 140, -186, -58, 89, -101, -109, -122, -131, -84, 14, -59, 241, 520, 602, 876, 742, 405, 651, 498, 433, 639, 445, 201, 192, 207, 116, 65, 40]","[-1484, -2175, -2169, -751, 1821, 1493, 946, 660, 687, 757, 685, 530, 403, 249, 11, -145, -208, -466, -497, -683, -776, -835, -864, -862, -960, -1115, -1110, -1194, -1123, -486, 237, 1420, 886, 532, 439, 471, 287, 180, 86, 67, -13, -15, 68, 145, 238, 338, 290, 316, 183, 153, 154, 201, 207, 136, 128, 92, 75, 58, 40, 21]","[1956, 4539, -788, -1638, 5811, -10694, 11997, 6417, 3166, 991, 1023, 850, -3670, -6007, -8259, -9048, -7451, -6830, -4963, -2343, 1012, 3002, 2642, 1530, 2531, 2827, 870, 3051, 1046, 4497, 2980, 3919, -7834, 2449, 4905, -2619, -5121, -392, 1853, 4979, 7402, 6447, 6894, 8669, 7094, 6063, 7437, 4477, 9292, 4752, -4549, 898, 5228, 5340, 6121, 3344, -997, -1790, -62, 927]","[3789, 25000, 25000, 25000, 25000, 11906, -7944, -6396, -5603, -7107, -13016, -18864, -21781, -23970, -25000, -25000, -25000, -25000, -22255, -20722, -16846, -13161, -6543, -3185, -584, 6125, 16251, 25000, 25000, 25000, 25000, 21372, -630, -6505, -6270, -6092, -10105, -11307, -9830, -3515, -448, 3879, 7589, 11071, 9352, 7985, 7023, 6418, 4496, 2560, 3337, 3713, 2983, 489, -104, -344, -395, -589, -1002, -840]","[904, -7612, -14778, -9970, -8861, -10803, 9645, 8378, 5086, 5592, 8991, 12089, 11862, 12408, 12084, 10708, 9649, 8050, 7065, 5133, 4376, 3284, 1623, 403, -1698, -4381, -6830, -9917, -7436, -14410, -8937, -16258, 443, 9734, 8629, 5632, 4567, 3895, 2771, 746, -3870, -7709, -12356, -17336, -18115, -17712, -16451, -13924, -11790, -12836, -13553, -12320, -8923, -2340, 1181, 41, -215, 384, 836, 981]",wanlin
basket,"[-1483, -2678, -3924, -3230, -1299, -1235, -951, -979, -1078, -1136, -1241, -1192, -944, -755, -578, -363, -213, -66, 47, 110, 33, 43, -7, -71, -9, -129, -334, -286, -759, -1565, -1752, -1544, -251, -51, -66, -112, -137, -146, 89, -2, 192, 138, 283, 241, 306, 254, 110, 21, -130, -97, -409, -373, -450, -529, -681, -917, -964, -703, -564, -463]","[-354, 268, -323, 1720, -105, -125, -99, 338, 257, 303, 442, 467, 434, 403, 228, 65, -24, 9, -20, 27, 2, 15, -70, -160, -204, -296, -424, -391, -201, -122, -17, 1446, 279, -170, -261, 17, 95, -62, -67, 20, 1, 61, 96, 154, 122, 146, 148, 218, 369, 472, 649, 309, 228, 252, 181, 449, 505, 568, 281, 21]","[-1581, -895, -1039, 948, 891, 365, 431, 697, 533, 351, 302, 249, 183, 123, -3, -150, -225, -346, -511, -530, -484, -581, -649, -762, -957, -1148, -1458, -1340, -1114, -596, -16, 1617, 1060, 456, 433, 518, 514, 368, 250, 249, 263, 261, 295, 254, 229, 169, 214, 210, 250, 328, 455, 479, 340, 244, 89, 30, 106, 149, 172, 177]","[1094, -1358, 11510, 8518, -10680, 7821, 1887, 3202, -2249, 3676, 1757, -2457, -3930, -5475, -9038, -8892, -4844, -3939, -2901, -2777, -1311, 1058, 499, 3022, 3439, 2373, 3561, 1732, -2311, 9469, 4693, 8285, -7947, -2082, 4615, 4186, -1351, -1821, 3411, 3386, 4627, 5133, 5315, 3789, 4216, 5574, 5600, 4168, 2576, 802, -28, -1538, 5544, 6236, 9308, 3706, -1808, -770, 1232, 6151]","[25000, 25000, 25000, 25000, -6621, -3845, -464, -3914, -11841, -14529, -17864, -22481, -23165, -23050, -25000, -25000, -25000, -23960, -20509, -13756, -11683, -11044, -8579, -8066, -4731, 3324, 12204, 25000, 25000, 25000, 25000, 25000, 1486, -7587, -4006, 73, -3714, -7584, -7049, -5938, -3601, -598, -292, 560, 955, 2637, 4354, 4364, 5005, 7382, 8325, 9004, 7486, 6391, 4672, 2546, 4893, 7242, 3639, -975]","[-15793, -11976, -6743, -23173, 337, 9418, 4260, 3336, 4837, 9380, 11455, 11074, 11396, 10963, 10227, 8259, 7299, 6237, 5535, 4356, 2878, 3567, 3822, 2483, 1211, -1830, -3911, -7197, -5504, -9284, -8221, -16551, -3998, 8107, 7928, 3159, 2841, 3696, 4038, 3736, 3008, 1166, -971, -2541, -4258, -6707, -8829, -11992, -14061, -14750, -12104, -9040, -10057, -10921, -11938, -13022, -12040, -7299, 323, 3515]",wanlin
basket,"[-1274, -2456, -3924, -2879, -1418, -1178, -1019, -1208, -1373, -1401, -1259, -1007, -779, -547, -354, -196, -65, 0, 7, 20, -30, -88, -189, -233, -251, -255, -620, -1530, -1669, -1560, -383, -242, -165, -152, -183, 64, 57, 337, 310, 524, 385, 389, 221, 25, -137, -236, -381, -396, -400, -497, -541, -634, -789, -749, -668, -543, -493, -464, -439, -451]","[-266, -266, 177, 1063, 308, -148, 72, 333, 273, 395, 373, 322, 149, 79, 35, 28, 6, -2, -5, -23, -114, -188, -293, -392, -396, -482, -55, -194, 44, -513, 712, 23, -124, 11, 39, -62, -128, -81, -146, -10, -167, -122, -8, 28, 362, 372, 564, 584, 265, 570, 354, 171, 253, 426, 560, 438, 187, 102, 101, 156]","[-1319, -789, -607, 1483, 1530, 451, 788, 829, 576, 409, 326, 205, -1, -154, -271, -372, -481, -493, -563, -636, -699, -808, -944, -1216, -1448, -1409, -1057, -279, -56, 1193, 1263, 588, 468, 409, 272, 143, 123, 51, 86, 62, 85, 135, 172, 230, 323, 410, 443, 571, 442, 376, 273, 180, 137, 154, 123, 78, 66, 55, 50, 48]","[-1591, -3939, 7516, 167, -12719, 4475, 4879, 611, -1335, -131, -292, -2098, -4377, -4387, -3716, -2111, -2262, -1327, 466, 1602, 1299, 3186, 3030, 2665, -222, -333, -5780, 1277, 5159, 9621, -9839, -2249, 5942, 2738, -3188, -2929, 585, 4840, 5619, 4197, 2877, 6198, 6053, 7963, 7647, 3482, 6059, 1242, 4495, 4202, -2231, 4204, 10258, 10476, 5662, -291, -862, 1355, 2536, 1611]","[25000, 25000, 25000, 25000, -6453, -10098, -3577, -9640, -19989, -24280, -24225, -25000, -25000, -25000, -25000, -23471, -19285, -14803, -13608, -11083, -9619, -8230, -7918, 379, 10465, 25000, 25000, 25000, 25000, 25000, 7148, -8855, -9559, -8081, -11004, -11481, -10004, -5293, -1151, 1774, 5348, 7647, 8594, 9900, 9849, 9652, 9936, 8489, 5537, 5050, 6344, 7038, 6323, 5564, 2632, -95, -528, -347, 20, 196]","[-17490, -9722, -8603, -19312, -2647, 7847, 6805, 6481, 7692, 9408, 9849, 10486, 9760, 7721, 6899, 6469, 5763, 4495, 3655, 4513, 3459, 3066, 2832, -685, -2890, -5810, -7646, -4551, -1804, -10817, -15475, 6974, 11008, 6568, 4713, 4033, 4058, 3658, 2620, -695, -2784, -5654, -8934, -11610, -13408, -12955, -11953, -9936, -9467, -10830, -10607, -10126, -9936, -9508, -6219, -170, 2989, 3027, 1900, 571]",wanlin
basket,"[-1570, -2631, -3567, -3198, -1666, -1376, -1314, -1409, -1560, -1686, -1351, -1019, -775, -500, -272, -130, -106, -126, -40, -109, -156, -440, -179, -311, -432, -864, -1415, -1182, -573, -247, -155, 35, -31, -121, -115, -100, 59, 132, 312, 162, 144, -102, -439, -597, -790, -821, -904, -961, -1085, -854, -591, -520, -450, -427, -473, -507, -507, -487, -465, -461]","[-384, -41, 216, 272, 1252, 82, 322, 381, 404, 448, 285, 237, 162, 19, 43, 125, 102, 13, -78, -117, -172, -357, -382, -489, -192, 39, -69, -398, 551, 221, -402, -237, 122, -12, -151, -142, -176, -183, -155, -136, 66, 222, 429, 578, 838, 502, 615, 446, 482, 741, 651, 224, 50, 118, 167, 114, 50, 27, 0, 34]","[-1558, -205, -682, 1427, 1599, 1068, 888, 772, 459, 293, 192, 59, -186, -335, -415, -435, -454, -551, -749, -852, -868, -984, -1361, -1248, -654, -562, -126, 605, 1374, 1159, 655, 356, 349, 315, 240, 126, 44, -5, -22, -23, 8, 13, 176, 244, 476, 420, 306, 159, 176, 134, 115, 151, 127, 88, 70, 56, 48, 40, 39, 41]","[2478, -1982, 11586, -769, -5526, -171, 2974, -1829, -3698, -4383, -4573, -6202, -6808, -5889, -2778, -2326, -2146, -43, 3126, 4158, 2610, 3912, 3126, -1217, 3368, -285, -900, 527, 486, -3553, 3797, 8615, 1248, -4235, -1118, 1717, 3393, 6718, 8375, 9710, 10025, 7449, 5636, 4439, 882, 4847, 6051, 4059, 7776, 6118, 447, 1359, 5317, 5111, -314, -2654, -1504, -91, 1036, 760]","[25000, 25000, 25000, 25000, 8304, -6751, -8684, -16258, -22855, -25000, -25000, -25000, -25000, -25000, -25000, -22077, -18665, -16899, -14166, -9395, -5782, -2974, 4065, 18170, 25000, 25000, 25000, 25000, 21621, -2634, -11416, -8918, -2130, -2684, -6430, -8865, -8605, -5265, -697, 3078, 5553, 7653, 9530, 9385, 9615, 7809, 4940, 3694, 4394, 4487, 2342, 273, -816, -1344, -1314, -938, -867, -766, -457, -74]","[-15274, -10040, -6150, -14036, -6244, 6295, 7309, 7477, 8268, 7814, 8796, 7697, 6459, 5626, 4086, 3341, 3798, 4348, 3371, 2581, 1903, 2570, -963, -5469, -7747, -7155, -5074, -5569, -14415, 3156, 10881, 7038, 2922, 3372, 4462, 5102, 4419, 1683, -2188, -8473, -14363, -19229, -22284, -22717, -19407, -15005, -15913, -15337, -15150, -11582, -2931, 3634, 3215, 1295, 318, 629, 1151, 1567, 1561, 1036]",wanlin
basket,"[-1784, -3347, -3924, -2320, -1627, -1209, -1416, -1713, -1529, -1286, -959, -716, -535, -365, -208, -137, -104, -80, -162, 21, -301, -278, -532, -590, -1910, -1712, -735, -236, 69, -8, -103, -56, -141, 84, 75, 261, 251, 286, 94, -129, -378, -628, -728, -771, -853, -959, -884, -802, -643, -519, -475, -456, -474, -481, -483, -513, -492, -471, -480, -464]","[-386, 187, 240, 2712, -467, 154, 371, 673, 436, 337, 223, 89, 18, 37, 28, 1, -54, -101, -149, -246, -286, -242, -434, -28, 13, -98, 727, 161, -331, -98, 24, -10, -67, -105, -161, -107, -109, -122, -1, 183, 348, 576, 848, 626, 506, 574, 483, 548, 590, 352, 173, 162, 164, 153, 138, 101, 79, 60, 33, 57]","[-1543, -169, 726, 2250, 1101, 818, 1015, 626, 343, 171, 0, -165, -260, -366, -486, -526, -663, -787, -857, -931, -1043, -1147, -1118, -903, -532, 501, 1924, 773, 458, 410, 402, 314, 181, 109, 132, 107, 86, 118, 81, 119, 144, 160, 191, 217, 122, 94, 41, 57, 114, 83, 70, 32, 29, 23, 12, 28, 27, 18, 16, 2]","[-1886, 6170, 4783, -6653, 1327, 8656, 4323, -1367, -4934, -3980, -4273, -7327, -6141, -2769, -411, 228, 1913, 3192, 2685, 1496, 1680, 2092, 379, 1477, -375, 1454, -3423, -5605, 2147, 6485, 38, -1912, -2390, 1413, 3865, 6905, 7184, 9747, 13176, 12706, 11170, 9947, 7431, 3070, 7096, 3908, 3155, 5950, 3656, 1750, 2943, 3455, 1478, -931, -2072, -2120, -1670, -984, -9, 415]","[25000, 25000, 25000, 25000, -14435, -9289, -10766, -22792, -25000, -25000, -25000, -25000, -25000, -25000, -24853, -21145, -17475, -11938, -7749, -3399, 2747, 11938, 23912, 25000, 25000, 25000, 14587, -8691, -11378, -3887, -2092, -4520, -7043, -5619, -2411, -234, 2527, 6249, 7404, 7799, 7425, 6634, 6527, 7071, 6179, 3699, 3189, 3067, 2316, 0, -1663, -1867, -1570, -1029, -675, -411, -584, -707, -711, -683]","[-16939, -5368, -12720, -18457, 6200, 8918, 8487, 10035, 10421, 10561, 9266, 7900, 6088, 4638, 4442, 4408, 4051, 2934, 2055, 2118, -341, -2549, -5100, -9633, -9447, -5271, -12092, 4889, 9399, 5896, 3462, 3497, 3842, 4091, 3350, 345, -2671, -6704, -11018, -14231, -17538, -19335, -18468, -15285, -14101, -13152, -11542, -8683, -4246, 1181, 3482, 2935, 2006, 1071, 936, 1184, 1255, 1523, 1499, 1085]",wanlin
basket,"[-1397, -2298, -3924, -2287, -1476, -987, -963, -1153, -1344, -1336, -1175, -956, -833, -566, -357, -200, -100, -75, -37, -68, -99, -205, -278, -437, -314, -935, -1676, -1680, -1098, -336, -83, 6, -142, -110, -276, 54, 110, 250, 278, 330, 331, 260, 118, -58, -174, -210, -510, -566, -668, -758, -811, -851, -780, -616, -545, -487, -484, -477, -497, -493]","[-99, 156, 268, 1108, -275, -7, 233, 407, 307, 505, 424, 363, 244, 29, -8, -8, -58, -35, -47, -65, -130, -200, -266, -368, -434, -94, 63, 90, 1273, 233, -228, -219, 227, 136, -52, -87, -100, -147, -134, -70, -43, 46, 179, 314, 444, 617, 690, 700, 533, 437, 389, 403, 502, 440, 255, 92, 55, 76, 58, 53]","[-1328, -41, 544, 1883, 1517, 621, 823, 801, 618, 453, 315, 220, 70, -231, -331, -408, -507, -576, -668, -782, -862, -986, -1037, -1387, -1471, -921, -206, 416, 1875, 1139, 592, 421, 481, 403, 290, 164, 118, 111, 124, 118, 132, 134, 133, 19, -67, -274, -9, 57, 152, 136, 82, 70, 98, 67, 145, 119, 58, 12, 14, 15]","[-1530, 2708, 7521, -5680, -2208, 9880, 632, -2612, -161, 450, -2365, -4482, -6072, -6097, -3392, -2949, -1892, -743, 1385, 1473, 1606, 2483, 2338, 5812, -1047, -5832, 106, 5867, 3894, -8196, 849, 10858, 6338, -2626, -4732, -1697, 788, 4176, 8295, 10016, 10484, 11984, 11803, 11152, 9164, 6329, 1042, -2150, -1969, 1474, 3706, 4452, 1646, -1322, -2118, -447, 1594, 1403, 527, 243]","[25000, 25000, 25000, 25000, -8468, -9331, -5803, -11426, -19163, -23415, -23978, -23596, -25000, -25000, -25000, -24318, -21326, -18231, -15601, -10943, -6044, -1216, 7491, 12974, 25000, 25000, 25000, 25000, 25000, -2774, -11864, -5008, -427, -4699, -8589, -8312, -5970, -2124, 1092, 3266, 4420, 3708, 1756, -1261, -5080, -5447, -1870, 3745, 5280, 4154, 2242, 1546, 1145, 1329, 1507, 72, -1221, -1272, -741, -714]","[-10843, -3329, -6627, -15977, 4746, 7997, 4917, 4952, 6830, 7955, 9810, 9424, 9340, 7639, 6227, 5296, 3978, 2564, 2819, 2571, 1893, -48, -2809, -3780, -8074, -9824, -6194, -1228, -16436, -2893, 8072, 7557, 4985, 5131, 4580, 3938, 4002, 3051, 1116, -1546, -5066, -8471, -11777, -13897, -16710, -19044, -18611, -17299, -15111, -12458, -11351, -10171, -8838, -4748, -995, 553, 891, 883, 699, 476]",wanlin
basket,"[-1543, -3924, -2985, -1243, -1000, -1233, -1530, -1653, -1590, -1260, -936, -696, -426, -204, -152, -221, -220, -295, -260, -527, -536, -559, -1870, -2489, -967, -272, -139, -69, -141, -124, -196, 44, 183, 290, 335, 388, 366, 297, 91, -99, -111, -291, -424, -514, -644, -665, -784, -862, -838, -673, -547, -524, -502, -438, -474, -493, -496, -487, -481, -464]","[-47, -94, 2320, -647, -164, -66, 234, 221, 299, 211, 138, 50, 39, 65, 25, 25, -25, -60, -192, -357, -257, -294, 310, -226, 650, 65, -392, -225, 124, -28, -147, -114, -188, -62, -149, -144, -142, -4, 133, 438, 480, 517, 725, 700, 562, 439, 336, 367, 556, 688, 429, 146, 105, 116, 176, 182, 110, 79, 89, 89]","[-424, -486, 2295, 1304, 346, 897, 861, 510, 390, 154, -40, -262, -397, -452, -419, -475, -668, -876, -1200, -1552, -1371, -1159, -953, 299, 1935, 843, 593, 623, 643, 445, 275, 126, 24, 7, 49, 20, 29, 42, 91, 132, 136, 103, 153, 201, 283, 211, 189, 115, 86, 120, 86, 135, 118, 46, 48, 41, 29, 8, 8, -3]","[-5246, 7383, 4027, -3736, 2010, 4259, 2674, -835, -979, -2043, -3640, -3636, -3490, -2800, -1274, 1205, 3916, 4284, 2752, 1950, -1928, 3470, -2301, -5511, 4617, -6557, 4982, 10810, -2917, -8253, -3817, 930, 3656, 5016, 2923, 3638, 6578, 6704, 6286, 5600, 4279, 7548, 1487, -304, 514, 4047, 5879, 7600, 5510, -3181, -8535, -4190, 216, 2429, 1591, -1733, -2205, -435, 697, 1041]","[25000, 25000, 25000, -13793, -13075, -4477, -16575, -25000, -25000, -25000, -25000, -25000, -25000, -25000, -21855, -20717, -18815, -16053, -7201, 4573, 21680, 25000, 25000, 25000, 24956, -2395, -8932, -1718, -3297, -8236, -11452, -12665, -9985, -4751, -753, 1673, 3067, 5130, 5388, 5740, 5607, 6459, 6772, 8819, 9292, 7615, 6277, 3634, 1571, 1968, 1233, -192, -1126, -1315, -945, -1293, -1479, -1617, -1408, -1324]","[-2390, -2088, -14325, 1054, 4378, 5239, 6389, 6978, 6965, 7713, 6762, 5987, 4704, 3382, 2202, 1334, 1338, 2901, 1898, -2267, -4961, -7770, -8262, 1873, -14115, 269, 11068, 6575, 1356, 794, 2651, 3544, 3600, 2038, -1019, -4760, -8182, -11380, -14812, -16876, -16285, -17065, -17143, -15380, -12973, -11397, -11267, -11642, -11133, -7231, -553, 3253, 3745, 3180, 2021, 1705, 1731, 1787, 1821, 1778]",wanlin
basket,"[-1958, -3530, -2234, -1310, -1230, -1300, -1539, -1840, -1778, -1499, -1156, -836, -632, -444, -202, -50, -73, -96, -202, -140, -219, -271, -1218, -1775, -1259, -285, -92, -113, -53, -142, -229, 9, 63, 265, 392, 478, 491, 416, 201, -104, -246, -306, -437, -409, -524, -619, -762, -832, -724, -582, -529, -509, -476, -453, -454, -441, -459, -465, -469, -463]","[111, -6, 527, 178, -158, 228, 235, 374, 457, 318, 125, 59, 17, 2, -63, 2, -1, 4, -107, -110, -169, -234, 273, 62, -182, 599, -95, -293, -25, 55, -158, -144, -154, -203, -176, -221, -262, -241, -120, 269, 471, 458, 1096, 514, 363, 463, 378, 615, 583, 505, 410, 261, 196, 167, 149, 135, 151, 157, 172, 156]","[-280, 612, 1481, 1547, 1032, 816, 764, 557, 246, 48, -192, -407, -462, -573, -782, -916, -968, -939, -1032, -1321, -1397, -799, -565, -55, 1404, 1165, 548, 482, 408, 394, 273, 134, 15, -60, -70, -68, -70, -57, -59, 18, 158, 280, 498, 468, 393, 267, 180, 140, 91, 67, 88, 91, 80, 64, 74, 66, 69, 52, 53, 54]","[-2195, 6757, 4487, -14065, 9381, -1001, -1767, -872, -2971, -5871, -5637, -4017, -2786, -2803, -1962, -725, 1195, 1087, 3125, 3505, -302, 1409, 607, -2814, 10932, -6146, -5200, 4091, 5343, -2460, -4323, 79, -90, 2917, 4715, 5008, 6603, 7468, 9649, 8748, 1496, 2709, -692, -5699, 5481, 6434, 10578, 7306, 53, -1332, -482, 422, -35, -1571, -2807, -1876, -544, 293, 67, -576]","[25000, 25000, 25000, 9704, -6517, -10503, -15324, -24551, -25000, -25000, -25000, -25000, -25000, -25000, -22717, -14547, -9161, -6203, -4919, 1256, 17917, 25000, 25000, 25000, 25000, 4138, -8881, -10048, -5337, -6838, -11378, -13430, -12556, -8108, -3609, 180, 1960, 4709, 5128, 5866, 5975, 7927, 7834, 8095, 9042, 6858, 4538, 982, -283, 1117, 2040, 1388, 794, 373, 354, -230, -373, -525, -225, -174]","[-3910, 1595, -12988, -1656, 5546, 4961, 4771, 6151, 6248, 6591, 5272, 4638, 4846, 2809, -144, -1837, -86, 1029, 1879, 1005, -2465, -3376, -4526, -240, -7715, -12832, 6075, 9128, 6548, 5967, 5148, 4676, 4290, 2960, 953, -1779, -5816, -10415, -16326, -20569, -19811, -20368, -16847, -12189, -13868, -13700, -15030, -12766, -9138, -5507, 283, 4146, 4394, 3220, 1948, 1324, 1224, 1208, 1241, 1207]",wanlin
basket,"[-1532, -3470, -3924, -1377, -1322, -961, -934, -1170, -1233, -1241, -1162, -914, -714, -522, -359, -244, -177, -57, -48, 5, -105, -181, -261, -308, -453, -913, -1850, -2135, -1480, -413, -251, -163, -191, -284, -116, -67, 192, 180, 280, 306, 287, 263, 119, -26, -218, -273, -481, -527, -621, -767, -775, -825, -785, -600, -554, -515, -467, -459, -483, -473]","[-68, 467, -722, 2479, -796, 298, -92, 256, 202, 441, 331, 254, 148, 45, -5, 11, -13, 5, 57, -13, -114, -164, -205, -328, -310, 229, -161, -102, 900, 294, -354, -206, 185, 92, -62, -10, -91, -77, -72, -43, -106, 54, 30, 241, 526, 361, 812, 559, 440, 496, 344, 430, 555, 539, 343, 144, 118, 134, 141, 107]","[-1525, -668, 2174, 1737, 1249, 660, 894, 881, 612, 471, 312, 189, 27, -133, -314, -419, -517, -663, -733, -789, -986, -1074, -1302, -1379, -1506, -955, -693, 281, 1870, 967, 546, 617, 631, 474, 282, 164, 115, 137, 162, 133, 162, 141, 153, 112, 162, 166, 194, 218, 214, 207, 121, 27, 98, 76, 81, 106, 73, 62, 54, 38]","[-453, -772, -981, -7769, 10213, 4587, -591, 1463, 2540, 579, -3213, -3321, -4767, -6157, -4666, -3241, -879, 931, 2168, 1255, 2662, 1910, 1659, -532, 6817, -1249, 5352, 2883, -3728, -9136, 1310, 11030, 3086, -5476, -3347, -318, 1718, 3333, 4227, 4328, 7242, 7816, 8011, 10739, 7352, 4428, 4461, -3321, 4087, 4669, 7253, 9993, 5060, 171, -1410, 1368, 2909, 968, -1532, -1857]","[25000, 25000, 25000, 19379, -3658, -7337, -3820, -10450, -17906, -21945, -23454, -23256, -25000, -25000, -25000, -25000, -25000, -22267, -15797, -13145, -8027, -1490, 5432, 16351, 25000, 25000, 25000, 25000, 25000, -6620, -9383, -727, -1811, -7824, -11462, -10841, -6629, -1866, -357, 1728, 2861, 4153, 5064, 5606, 3181, 5075, 6122, 7140, 9038, 8535, 5688, 2661, 2191, 973, -158, -888, -1585, -1565, -1616, -1667]","[-9498, -4492, -5476, -12025, 5975, 5655, 3310, 4110, 6108, 6564, 7699, 7199, 6456, 4769, 3785, 3102, 2394, 813, 1495, 3125, 2531, 343, -1468, -2958, -4469, -4637, -7020, -5469, -24177, -204, 10784, 7048, 4319, 3637, 3585, 3930, 3863, 2375, -247, -2414, -4781, -7745, -10329, -12906, -15330, -16352, -14957, -12877, -11619, -11300, -9664, -9276, -8642, -5559, -266, 2225, 2015, 1246, 549, 742]",wanlin
